source,target,rule_name,justification,source_domain,target_domain,source_type,target_type,confidence_level,origin,required_light
esg_oversight_policy,governance_compliance_score,governance_structure_to_compliance,Board-level ESG oversight plausibly strengthens governance compliance processes.,governance,governance,policy_or_structure,score_or_ratio,high,metadata_ontology_rule,False
esg_oversight_policy,reporting_quality_score,governance_structure_to_reporting,Formal ESG oversight supports more complete and reliable ESG reporting.,governance,governance,policy_or_structure,score_or_ratio,high,metadata_ontology_rule,False
esg_oversight_policy,assurance_score,governance_structure_to_reporting,ESG oversight increases the likelihood and quality of assurance processes.,governance,governance,policy_or_structure,score_or_ratio,medium,metadata_ontology_rule,False
esg_oversight_policy,emission_reduction_policy,governance_to_environmental_policy,Governance oversight can drive adoption of environmental reduction policies.,governance,environmental,policy_or_structure,policy_or_structure,high,metadata_ontology_rule,False
board_diversity,governance_compliance_score,governance_structure_to_compliance,Board composition is a structural governance input to compliance quality.,governance,governance,indicator,score_or_ratio,medium,metadata_ontology_rule,False
board_diversity,reporting_quality_score,governance_structure_to_reporting,More diverse boards are associated with broader transparency and disclosure oversight.,governance,governance,indicator,score_or_ratio,medium,metadata_ontology_rule,False
ceo_chair_split,governance_compliance_score,governance_structure_to_compliance,CEO-chair separation is a governance structure affecting oversight and compliance.,governance,governance,policy_or_structure,score_or_ratio,medium,metadata_ontology_rule,False
auditor_independence_score,assurance_score,governance_structure_to_reporting,Auditor independence directly supports assurance quality.,governance,governance,score_or_ratio,score_or_ratio,high,metadata_ontology_rule,True
auditor_independence_score,governance_compliance_score,governance_structure_to_compliance,Independent audit oversight supports governance compliance.,governance,governance,score_or_ratio,score_or_ratio,medium,metadata_ontology_rule,False
esg_incentive_bonus,emission_reduction_policy,governance_to_environmental_policy,ESG-linked incentives can encourage environmental policy adoption.,governance,environmental,policy_or_structure,policy_or_structure,medium,metadata_ontology_rule,False
emission_reduction_policy,carbon_intensity,environmental_policy_to_operational_outcome,Emission-reduction policies are intended to reduce carbon intensity.,environmental,environmental,policy_or_structure,indicator,high,metadata_ontology_rule,False
emission_reduction_policy,co2_ch4_n2o_scope_1_3,environmental_policy_to_operational_outcome,Emission-reduction policies target greenhouse gas emissions.,environmental,environmental,policy_or_structure,indicator,high,metadata_ontology_rule,False
emission_reduction_policy,renewable_energy_share,environmental_policy_to_operational_outcome,Emission policies often increase renewable energy adoption.,environmental,environmental,policy_or_structure,operational_indicator,medium,metadata_ontology_rule,False
emission_reduction_policy,total_energy_consumption,environmental_policy_to_operational_outcome,Operational energy efficiency is a common mechanism of emission-reduction policy.,environmental,environmental,policy_or_structure,operational_indicator,medium,metadata_ontology_rule,False
carbon_neutral_commitment,emission_reduction_policy,environmental_commitment_to_policy,A carbon-neutral commitment should precede concrete emission-reduction policies.,environmental,environmental,policy_or_structure,policy_or_structure,high,metadata_ontology_rule,True
carbon_neutral_commitment,renewable_energy_share,environmental_commitment_to_operational_outcome,Carbon-neutral commitments often require greater renewable energy use.,environmental,environmental,policy_or_structure,operational_indicator,medium,metadata_ontology_rule,False
climate_risk_assessment_done,resilience_score,risk_assessment_to_resilience,Climate-risk assessment is a precursor to resilience planning and scoring.,environmental,environmental,policy_or_structure,score_or_ratio,high,metadata_ontology_rule,False
iso_14001_exists,reporting_quality_score,environmental_management_to_reporting,ISO 14001 systems support structured environmental reporting.,environmental,governance,policy_or_structure,score_or_ratio,medium,metadata_ontology_rule,False
iso_14001_exists,environmental_fines,environmental_management_to_compliance_outcome,Environmental management certification can reduce regulatory compliance failures.,environmental,environmental,policy_or_structure,risk_or_event,medium,metadata_ontology_rule,False
renewable_energy_share,carbon_intensity,operational_indicator_to_operational_outcome,Higher renewable energy share mechanically lowers carbon intensity in many settings.,environmental,environmental,operational_indicator,indicator,high,metadata_ontology_rule,True
total_energy_consumption,co2_ch4_n2o_scope_1_3,operational_indicator_to_operational_outcome,Energy consumption is an operational driver of emissions.,environmental,environmental,operational_indicator,indicator,high,metadata_ontology_rule,True
total_energy_consumption,carbon_intensity,operational_indicator_to_operational_outcome,Energy consumption affects emissions intensity.,environmental,environmental,operational_indicator,indicator,medium,metadata_ontology_rule,False
co2_ch4_n2o_scope_1_3,environmental_fines,esg_risk_event_to_fines,Higher greenhouse gas emissions can increase exposure to environmental penalties.,environmental,environmental,indicator,risk_or_event,medium,metadata_ontology_rule,False
carbon_intensity,environmental_fines,esg_risk_event_to_fines,High carbon intensity can increase environmental compliance and penalty risk.,environmental,environmental,indicator,risk_or_event,medium,metadata_ontology_rule,False
