variable_name,source_sheet,domain,ontology_type,causal_role,unit,description,data_type,is_identifier,is_static,is_composite,is_component,included_in_reference_dag,reason
lei_mfi_code_for_branches,ECB List of corporates,company_static,identifier_or_static,identifier_or_static,,ECB company/static metadata field.,text,True,True,False,False,False,excluded: outside conservative manageable reference subset
co2_ch4_n2o_scope_1_3,Dummy_dataset_ESG.txt,environmental,indicator,indicator,tCO2e,Advisor text-spec variable definition.,float,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
carbon_intensity,ESG Ontology,environmental,indicator,indicator,"tCO₂e per output (e.g., per ton product / per $ revenue)","Emissions per unit of output, reflecting efficiency in producing goods/services with lower carbon footprint.",numeric (calculated),False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
emission_reduction_policy,Dummy_dataset_ESG.txt,environmental,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
carbon_neutral_commitment,Dummy_dataset_ESG.txt,environmental,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
air_emissions_sox_nox_pm,Dummy_dataset_ESG.txt,environmental,operational_indicator,operational_outcome,µg/m³,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
land_area_affected,ESG Ontology,environmental,indicator,indicator,ha (hectares),"Represents total land disturbed, used, or impacted by company activities.",numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
biodiversity_protection_actions,ESG Ontology,environmental,indicator,indicator,Yes/No,Indicates whether measures to protect natural habitats or species are implemented.,boolean,False,False,False,True,False,excluded: outside conservative manageable reference subset
fsc_pefc_certified_sourcing,ESG Ontology,environmental,indicator,indicator,% certified,Shows the share of materials sourced from certified sustainable forestry programs.,numeric (percentage),False,False,False,True,False,excluded: outside conservative manageable reference subset
climate_risk_assessment_done,Dummy_dataset_ESG.txt,environmental,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
