cause,effect,rule_name,justification,confidence_level,origin
esg_oversight_policy,governance_compliance_score,governance_structure_to_compliance,Board-level ESG oversight plausibly strengthens governance compliance processes.,high,metadata_ontology_rule
esg_oversight_policy,reporting_quality_score,governance_structure_to_reporting,Formal ESG oversight supports more complete and reliable ESG reporting.,high,metadata_ontology_rule
esg_oversight_policy,assurance_score,governance_structure_to_reporting,ESG oversight increases the likelihood and quality of assurance processes.,medium,metadata_ontology_rule
esg_oversight_policy,emission_reduction_policy,governance_to_environmental_policy,Governance oversight can drive adoption of environmental reduction policies.,high,metadata_ontology_rule
board_diversity,governance_compliance_score,governance_structure_to_compliance,Board composition is a structural governance input to compliance quality.,medium,metadata_ontology_rule
board_diversity,reporting_quality_score,governance_structure_to_reporting,More diverse boards are associated with broader transparency and disclosure oversight.,medium,metadata_ontology_rule
ceo_chair_split,governance_compliance_score,governance_structure_to_compliance,CEO-chair separation is a governance structure affecting oversight and compliance.,medium,metadata_ontology_rule
auditor_independence_score,assurance_score,governance_structure_to_reporting,Auditor independence directly supports assurance quality.,high,metadata_ontology_rule
auditor_independence_score,governance_compliance_score,governance_structure_to_compliance,Independent audit oversight supports governance compliance.,medium,metadata_ontology_rule
esg_incentive_bonus,emission_reduction_policy,governance_to_environmental_policy,ESG-linked incentives can encourage environmental policy adoption.,medium,metadata_ontology_rule
emission_reduction_policy,carbon_intensity,environmental_policy_to_operational_outcome,Emission-reduction policies are intended to reduce carbon intensity.,high,metadata_ontology_rule
emission_reduction_policy,co2_ch4_n2o_scope_1_3,environmental_policy_to_operational_outcome,Emission-reduction policies target greenhouse gas emissions.,high,metadata_ontology_rule
emission_reduction_policy,renewable_energy_share,environmental_policy_to_operational_outcome,Emission policies often increase renewable energy adoption.,medium,metadata_ontology_rule
emission_reduction_policy,total_energy_consumption,environmental_policy_to_operational_outcome,Operational energy efficiency is a common mechanism of emission-reduction policy.,medium,metadata_ontology_rule
carbon_neutral_commitment,emission_reduction_policy,environmental_commitment_to_policy,A carbon-neutral commitment should precede concrete emission-reduction policies.,high,metadata_ontology_rule
carbon_neutral_commitment,renewable_energy_share,environmental_commitment_to_operational_outcome,Carbon-neutral commitments often require greater renewable energy use.,medium,metadata_ontology_rule
climate_risk_assessment_done,resilience_score,risk_assessment_to_resilience,Climate-risk assessment is a precursor to resilience planning and scoring.,high,metadata_ontology_rule
iso_14001_exists,reporting_quality_score,environmental_management_to_reporting,ISO 14001 systems support structured environmental reporting.,medium,metadata_ontology_rule
iso_14001_exists,environmental_fines,environmental_management_to_compliance_outcome,Environmental management certification can reduce regulatory compliance failures.,medium,metadata_ontology_rule
renewable_energy_share,carbon_intensity,operational_indicator_to_operational_outcome,Higher renewable energy share mechanically lowers carbon intensity in many settings.,high,metadata_ontology_rule
total_energy_consumption,co2_ch4_n2o_scope_1_3,operational_indicator_to_operational_outcome,Energy consumption is an operational driver of emissions.,high,metadata_ontology_rule
total_energy_consumption,carbon_intensity,operational_indicator_to_operational_outcome,Energy consumption affects emissions intensity.,medium,metadata_ontology_rule
co2_ch4_n2o_scope_1_3,environmental_fines,esg_risk_event_to_fines,Higher greenhouse gas emissions can increase exposure to environmental penalties.,medium,metadata_ontology_rule
carbon_intensity,environmental_fines,esg_risk_event_to_fines,High carbon intensity can increase environmental compliance and penalty risk.,medium,metadata_ontology_rule
hazardous_waste_generated,environmental_fines,esg_risk_event_to_fines,Hazardous waste generation increases regulatory penalty exposure.,high,metadata_ontology_rule
waste_recycled_share,hazardous_waste_generated,operational_indicator_to_operational_outcome,Recycling practices can reduce waste burden.,medium,metadata_ontology_rule
water_withdrawal,environmental_fines,esg_risk_event_to_fines,High water withdrawal can increase environmental regulatory exposure in constrained contexts.,low,metadata_ontology_rule
training_hours,injury_frequency_rate,social_action_to_operational_outcome,Employee training can reduce workplace injury frequency.,high,metadata_ontology_rule
training_hours,turnover_rate,social_action_to_operational_outcome,Training investment can influence retention and turnover.,medium,metadata_ontology_rule
collective_bargaining_coverage,fair_wage_gap,social_structure_to_workforce_outcome,Collective bargaining coverage can affect pay equity outcomes.,medium,metadata_ontology_rule
diversity_representation,human_rights_violations,social_indicator_to_rights_outcome,Workforce diversity is linked to lower employee-rights violation risk in ESG literature.,medium,metadata_ontology_rule
customer_satisfaction_score,turnover_rate,social_outcome_interdependency,Customer satisfaction and employee turnover are linked operational social outcomes; direction is treated conservatively from satisfaction to retention pressure.,low,metadata_ontology_rule
customer_satisfaction_score,net_profit_margin,social_outcome_to_financial_outcome,"Customer satisfaction can improve retention, pricing power, and profitability.",medium,metadata_ontology_rule
injury_frequency_rate,net_profit_margin,social_risk_to_financial_outcome,Workplace injuries create direct and indirect costs that can reduce margins.,medium,metadata_ontology_rule
ethical_breaches,governance_compliance_score,governance_event_to_compliance,Ethical breaches are governance events that affect compliance standing.,high,metadata_ontology_rule
corruption_cases,governance_compliance_score,governance_event_to_compliance,Corruption cases directly degrade governance compliance.,high,metadata_ontology_rule
anti_competitive_violations,governance_compliance_score,governance_event_to_compliance,Anti-competitive violations are governance/legal compliance events.,high,metadata_ontology_rule
corruption_cases,ethical_breaches,governance_risk_event_relationship,Corruption cases are a specific source of broader ethical-breach exposure.,medium,metadata_ontology_rule
governance_compliance_score,solvency_ratio,governance_to_financial_stability,Governance quality supports prudent risk management and financial stability.,medium,metadata_ontology_rule
governance_compliance_score,debt_to_equity_ratio,governance_to_capital_structure,Governance quality influences capital structure and creditor trust.,medium,metadata_ontology_rule
environmental_fines,market_value_equity,environmental_event_to_market_value,Environmental fines can reduce market value through legal and reputational channels.,high,metadata_ontology_rule
environmental_fines,debt_to_equity_ratio,environmental_event_to_financing,Environmental penalties can affect financing conditions and leverage.,medium,metadata_ontology_rule
