column_name,esg_domain,ontology_class,unit,causal_role,notes
no,REVIEW,REVIEW,REVIEW,REVIEW,Not in known mappings — fill in manually
lei_mfi_code_for_branches,REVIEW,REVIEW,REVIEW,REVIEW,Not in known mappings — fill in manually
type,REVIEW,REVIEW,REVIEW,REVIEW,Not in known mappings — fill in manually
banks,REVIEW,REVIEW,REVIEW,REVIEW,Not in known mappings — fill in manually
ground_for_significance,REVIEW,REVIEW,REVIEW,REVIEW,Not in known mappings — fill in manually
scope_1_ghg_emissions,Environmental,ESG_Metric,tCO2e,candidate effect,Direct emissions outcome
scope_2_ghg_emissions,Environmental,ESG_Metric,tCO2e,candidate effect,Purchased energy emissions outcome
scope_3_ghg_emissions,Environmental,ESG_Metric,tCO2e,candidate effect,Value-chain emissions outcome
emission_reduction_policy,Environmental,Indicator,bool,candidate cause,Policy existence drives emission outcomes
renewable_energy_share,Environmental,Indicator,%,candidate cause,Energy mix driver
community_investment,Social,ESG_Metric,Currency,candidate effect,CSR spend outcome
diversity_women_representation,Social,Indicator,%,candidate cause,Gender diversity and representation driver
health_safety,Social,Indicator,mixed,candidate cause,Workplace health and safety programme indicator
board_strategy_esg_oversight,Governance,Indicator,mixed,candidate cause,Board-level ESG strategy and oversight driver
sustainable_finance_green_financing,Financial,ESG_Metric,Currency,candidate effect,Green or sustainable financing outcome
total_revenue,Financial,Indicator,Currency,candidate effect,Reported revenue outcome
reporting_quality,Governance,ESG_Metric,mixed,candidate effect,Disclosure quality outcome
